"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"PLB_DA15","q","hydro","da","critical",953.195290145974,-6295.32217028156,8106.63414983624,0.0137561527211545,0.39481555333998,156,40
"PLB_DA15","q","hydro","da","midday",4691.95679187886,2987.36749577094,6076.35587663374,0.183155576064186,0.000707714083510262,156,40
"PLB_DA15","q","hydro","da","flat",2726.39467853615,1498.67804407727,4090.72349605506,0.136856975773707,0.00129198966408269,156,40
"PLB_DA15","q","hydro","ida","critical",37180.8461680055,9407.20794737566,60537.5085930821,3.61003283676148,0.00338066260987153,131,37
"PLB_DA15","q","hydro","ida","midday",21781.1794214772,10833.4541215955,29122.5110985727,1.74937927691964,0.00144717800289436,131,37
"PLB_DA15","q","hydro","ida","flat",6785.97335163773,3724.03329352793,9335.24602830813,0.58877917527573,0.0031496062992126,131,37
"PLB_DA15","q","hydro_pump","da","critical",983.743655407852,-514.047920449721,2454.28625331522,0.0859174999644728,0.0947930574098798,156,40
"PLB_DA15","q","hydro_pump","da","midday",-220.379749010555,-669.843847392783,242.741520690665,-0.0509881087597153,0.179919137466307,156,40
"PLB_DA15","q","hydro_pump","da","flat",57.8713370461551,-346.390109461961,467.204906526544,0.0243196549774754,0.394526034712951,156,40
"PLB_DA15","q","hydro_pump","ida","critical",1598.80360121481,-8550.33101410229,9282.06814210995,-0.230181874831422,0.369302949061662,131,37
"PLB_DA15","q","hydro_pump","ida","midday",71.9562298905971,-3508.05585664738,2762.96912386191,0.525639546469938,0.450901803607214,122,36
"PLB_DA15","q","hydro_pump","ida","flat",-658.69177262577,-2158.4501421431,624.418303994139,-0.169851891065018,0.165554072096128,131,37
