tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Pump_load,DA60/ID15 post-blk,Critical,51.195022944365455,0.5415527690218217,0.30365605498089304,2.1899222395189426,5,15317,IDA
Pump_load,DA60/ID15 post-blk,Dropped,45.59573536583714,0.48279853399912315,0.2738642894545836,1.7721798613605375,5,8960,IDA
Pump_load,DA60/ID15 post-blk,Flat,97.30966220284282,0.9588218353203104,0.5796960962739902,6.700116764087215,5,2143,IDA
Pump_load,DA60/ID15 post-blk,Midday,31.478325305852895,0.395660827050404,0.21952434741106766,0.4926413098623887,5,14117,IDA
Pump_load,DA60/ID15 pre-blk,Critical,111.8092463039927,0.9719293035822527,0.4640748633449036,3.895822166258491,2,3702,IDA
Pump_load,DA60/ID15 pre-blk,Dropped,128.69306863256372,1.0183718137138702,0.4802446309202105,5.4499334692394,2,2312,IDA
Pump_load,DA60/ID15 pre-blk,Flat,107.97859244416206,0.9989883192414838,0.53362494501735,2.0798797712721764,2,654,IDA
Pump_load,DA60/ID15 pre-blk,Midday,130.05000176687363,1.0236180524004241,0.4758070826392044,4.721004720076733,2,3796,IDA
Pump_load,ISP15-win,Critical,152.4015199432994,1.2340172357676296,0.35235396583015594,8.3640216930843,4,1526,IDA
Pump_load,ISP15-win,Dropped,120.69325373290563,0.9961267798686534,0.33534579023260863,8.661519112615666,4,1494,IDA
Pump_load,ISP15-win,Flat,136.81006664510582,1.092094013550158,0.41260150409886287,9.251914987178672,4,780,IDA
Pump_load,ISP15-win,Midday,101.15787834705995,0.8840081903757225,0.34719614653245306,3.0537247475207003,4,2270,IDA
Retailer,3-sess,Critical,17.50142914127017,1.2898742532544965,0.32105507141742234,0.5136414321807699,6,60411,IDA
Retailer,3-sess,Dropped,17.846245203801008,1.2848199051074563,0.3391040509606456,0.4964682852104505,6,30638,IDA
Retailer,3-sess,Flat,15.313533870506488,1.1382689518152274,0.27657467216646997,0.26386657052966295,6,11463,IDA
