tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
Solar Thermal,3-sess,Critical,0.5434938464171807,5.7444048629891915,8.78755620829057,6,54.3
Solar Thermal,3-sess,Dropped,0.634703798861807,6.483737424949713,9.796545682309885,6,63.5
Solar Thermal,3-sess,Flat,0.6384945616347678,8.01989833380163,11.818979647042632,6,63.8
Solar Thermal,3-sess,Midday,0.6601415202421571,5.672583538239022,8.717977600692096,6,66.0
Solar Thermal,DA15/ID15,Critical,0.5478909075075071,3.386507619201751,7.5680000612119995,3,54.8
Solar Thermal,DA15/ID15,Dropped,0.6397796925434959,3.797756660741707,7.3783736668307505,3,64.0
Solar Thermal,DA15/ID15,Flat,0.4082437371809499,3.8981178069053706,11.800648548125508,3,40.8
Solar Thermal,DA15/ID15,Midday,0.7213640287974815,3.6585424770995623,5.944550518070822,3,72.1
Solar Thermal,DA60/ID15 post-blk,Critical,0.6412960439609793,5.5815684610821865,8.542433097587233,5,64.1
Solar Thermal,DA60/ID15 post-blk,Dropped,0.6979018570200399,6.341449972413502,9.825431623353548,5,69.8
Solar Thermal,DA60/ID15 post-blk,Flat,0.5435206226428508,6.1776523772875205,13.896319398608977,5,54.4
Solar Thermal,DA60/ID15 post-blk,Midday,0.8062051950864134,7.186096286462889,8.61882655498369,5,80.6
Solar Thermal,DA60/ID15 pre-blk,Critical,0.7540351999023187,5.934693229731581,7.830684337947042,2,75.4
Solar Thermal,DA60/ID15 pre-blk,Dropped,0.8316782767924662,9.232501914327923,11.341533089182791,2,83.2
Solar Thermal,DA60/ID15 pre-blk,Flat,0.7220139995245356,12.17638357117995,17.93787743647755,2,72.2
Solar Thermal,DA60/ID15 pre-blk,Midday,0.9324406305721302,9.257735539560336,9.627683212058212,2,93.2
Solar Thermal,ISP15-win,Critical,0.485063658209838,5.537309549642483,8.855976387998913,4,48.5
Solar Thermal,ISP15-win,Dropped,0.5494139394214979,4.928691087721901,7.864347999918649,4,54.9
Solar Thermal,ISP15-win,Flat,0.751966930435963,6.566154921461031,11.05889793498,4,75.2
Solar Thermal,ISP15-win,Midday,0.49516852006468637,3.9474686700892057,6.5046416882110005,4,49.5
Wind,3-sess,Critical,0.3168868929816337,3.1643732571968783,4.243016136880179,6,31.7
Wind,3-sess,Dropped,0.3649011747847468,3.428001338175161,4.478355313702768,6,36.5
Wind,3-sess,Flat,0.3033553144932794,1.4948476693116328,2.7329480731213036,6,30.3
Wind,3-sess,Midday,0.5419731856288484,6.159574924742896,6.924384377969837,6,54.2
Wind,DA15/ID15,Critical,0.28224692236426163,2.2755624033492947,3.9176361492675107,3,28.2
Wind,DA15/ID15,Dropped,0.3452019329994463,3.1155313280075703,4.614933544074064,3,34.5
Wind,DA15/ID15,Flat,0.314768029997597,2.037701920166802,3.6856480292833917,3,31.5
Wind,DA15/ID15,Midday,0.4886344328902435,6.382071147813151,7.644520226313727,3,48.9
Wind,DA60/ID15 post-blk,Critical,0.3862477224118053,3.641276626208363,4.737021522257547,5,38.6
Wind,DA60/ID15 post-blk,Dropped,0.43654516404189864,4.084674138970426,5.127088292199478,5,43.7
Wind,DA60/ID15 post-blk,Flat,0.31026504222968526,1.7522922362083027,3.083293959482508,5,31.0
Wind,DA60/ID15 post-blk,Midday,0.6650642203887971,7.844302353167213,8.455455712774654,5,66.5
Wind,DA60/ID15 pre-blk,Critical,0.6087980923367351,7.911185147595152,8.79330503179259,2,60.9
Wind,DA60/ID15 pre-blk,Dropped,0.721444667225816,10.85656470733442,11.504652403960918,2,72.1
Wind,DA60/ID15 pre-blk,Flat,0.7029264367995092,6.305094546889986,7.116582220236748,2,70.3
Wind,DA60/ID15 pre-blk,Midday,0.8774486146892895,21.554609035205523,21.85738600534121,2,87.7
Wind,ISP15-win,Critical,0.22515666641113488,1.6781063421725722,2.9663620876319694,4,22.5
Wind,ISP15-win,Dropped,0.2658528749605593,2.1889502500796723,3.45435934049163,4,26.6
Wind,ISP15-win,Flat,0.2744915221309703,2.2794291692643425,3.6036994920469265,4,27.4
Wind,ISP15-win,Midday,0.3479665811160321,3.407359608075785,4.585328616346082,4,34.8
