firm,tech,hour_class,regime,gwh,gwh_sa
IB,Other,Midday,MTU15IDA_pre,12.754775000000285,
IB,Other,Midday,preIDA,0.05459457831325301,
IB,Solar_PV,Critical,3sess,0.1120447916666667,
IB,Solar_PV,Critical,DA15_ID15,0.19174004237288136,
IB,Solar_PV,Critical,ISP15win,0.03262142857142857,
IB,Solar_PV,Critical,MTU15IDA_post,0.0956871621621622,
IB,Solar_PV,Critical,MTU15IDA_pre,0.04810555555555558,
IB,Solar_PV,Critical,preIDA,0.11317340823970037,
IB,Solar_PV,Flat,MTU15IDA_pre,0.01175,
IB,Solar_PV,Midday,3sess,0.1572158536585366,
IB,Solar_PV,Midday,DA15_ID15,0.5240955508474576,
IB,Solar_PV,Midday,ISP15win,0.06070588235294118,
IB,Solar_PV,Midday,MTU15IDA_post,0.22161657894736803,
IB,Solar_PV,Midday,MTU15IDA_pre,0.16784285714285713,
IB,Solar_PV,Midday,preIDA,0.18920639269406395,
IB,Wind,Critical,3sess,0.2831975308641975,
IB,Wind,Critical,DA15_ID15,0.5596525423728812,
IB,Wind,Critical,ISP15win,0.22505096153846155,
IB,Wind,Critical,MTU15IDA_post,0.2403915032679737,
IB,Wind,Critical,MTU15IDA_pre,0.3358069444444439,
IB,Wind,Critical,preIDA,0.21461524822695036,
IB,Wind,Flat,3sess,0.07439775280898876,
IB,Wind,Flat,DA15_ID15,0.0873151442307692,
IB,Wind,Flat,ISP15win,0.08570298507462686,
IB,Wind,Flat,MTU15IDA_post,0.04571510989010989,
IB,Wind,Flat,MTU15IDA_pre,0.04892236842105263,
IB,Wind,Flat,preIDA,0.10150801393728225,
IB,Wind,Midday,3sess,0.29787222222222226,
IB,Wind,Midday,DA15_ID15,0.24815486725663713,
IB,Wind,Midday,ISP15win,0.15415529411764706,
IB,Wind,Midday,MTU15IDA_post,0.22468381294964004,
IB,Wind,Midday,MTU15IDA_pre,0.6917132812499979,
IB,Wind,Midday,preIDA,0.16674418604651164,
OTH,CCGT,Critical,3sess,0.32339212121212124,
OTH,CCGT,Critical,DA15_ID15,0.31878689320388354,
OTH,CCGT,Critical,ISP15win,0.309608,
OTH,CCGT,Critical,MTU15IDA_post,0.19015336134453786,
OTH,CCGT,Critical,MTU15IDA_pre,0.12271718750000003,
OTH,CCGT,Critical,preIDA,0.16304345047923324,
OTH,CCGT,Flat,3sess,0.11091454545454545,
OTH,CCGT,Flat,DA15_ID15,0.10373897058823532,
OTH,CCGT,Flat,ISP15win,0.16116,
OTH,CCGT,Flat,MTU15IDA_post,0.06314468085106384,
