regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Hydro_RES,1.2423166661296468,1.398093001146436,8.568878310026777,288
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Hydro_pump,2.506714328766136,2.4132832816038925,0.6248140434394526,21
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Import,0.09476822535125842,0.016078069513183996,0.02975304968759298,1
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Nuclear,8.279426007812692,8.90026004529821,0.2975304968759298,10
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Solar PV,24.00735022355824,26.51186281911472,37.45908955667956,1259
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Solar Thermal,0.818513162358819,0.42502027234851664,0.6248140434394526,21
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,Wind,50.83670866162626,46.233712216536645,28.11663195477536,945
DA60/ID15 pre-blk (Mar19-Apr27),Dropped,_unmapped_,4.112277602667156,4.4870047255543435,10.235049092531986,344
DA60/ID15 post-blk (Apr28-Sep),Critical,Biomass,0.6562139017892925,0.6571200668515215,2.6373626373626373,252
DA60/ID15 post-blk (Apr28-Sep),Critical,CCGT,6.227015016855655,6.652471707429994,0.8791208791208791,84
DA60/ID15 post-blk (Apr28-Sep),Critical,Cogen,2.1020209104410763,2.1586275944560827,8.14233385661957,778
DA60/ID15 post-blk (Apr28-Sep),Critical,Hybrid_RES,1.3309189278389402,1.2578377460258534,1.1721611721611722,112
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro,9.373637108371248,9.0643725395623,2.60596546310832,249
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro_RES,1.1372041420118344,1.145247973419927,7.786499215070644,744
DA60/ID15 post-blk (Apr28-Sep),Critical,Hydro_pump,7.966764598411091,7.795067980285683,1.9570905285190998,187
DA60/ID15 post-blk (Apr28-Sep),Critical,Import,0.2873122893043212,0.19844753682101238,0.03139717425431711,3
DA60/ID15 post-blk (Apr28-Sep),Critical,Nuclear,7.890921521016525,8.043611157495963,0.24071166928309787,23
DA60/ID15 post-blk (Apr28-Sep),Critical,Solar PV,29.91757084089677,29.691736226028098,41.05703819989534,3923
DA60/ID15 post-blk (Apr28-Sep),Critical,Solar Thermal,0.6313503382918032,0.41689032924804237,0.5128205128205128,49
DA60/ID15 post-blk (Apr28-Sep),Critical,Wind,29.647976142766215,30.19197595409262,25.013082155939298,2390
DA60/ID15 post-blk (Apr28-Sep),Critical,_unmapped_,2.8310942620052333,2.726593188282924,7.964416535845108,761
DA60/ID15 post-blk (Apr28-Sep),Flat,CCGT,33.07130096722801,34.28105568605776,17.24137931034483,50
DA60/ID15 post-blk (Apr28-Sep),Flat,Cogen,0.12701252730079055,0.16636727925936162,1.3793103448275863,4
DA60/ID15 post-blk (Apr28-Sep),Flat,Hybrid_RES,0.37413472715776336,0.32886555202431944,1.7241379310344827,5
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro,21.465669342213168,19.75404172999862,15.172413793103448,44
